spotify_id,song,artist
2SLZ2rX5773RS16mcqBxG7,Peaches and Cream,112
7083RIuldWYPYODDrs8NNU,Existential Hero,311
3GrmgrePBvD6eThHWGZ73S,Starshines,311
6pfAktrPIReXJMLVEFWvLX,Let Your Hair Down - Main,702
57OqCwzNsCVYwSbfKbDzyY,Polkas On 45,"""Weird Al"" Yankovic"
3dTuAv5fc7dUffZkWja4AR,I Lost On Jeopardy,"""Weird Al"" Yankovic"
5AQT781Qa3UmmKIkqUloxC,Party At the Leper Colony,"""Weird Al"" Yankovic"
4UMj18ePGe8cay5oImWSxF,Callin' In Sick,"""Weird Al"" Yankovic"
01pQM7r692IM1HB3iHttGJ,I'm so Sick of You,"""Weird Al"" Yankovic"
5plT9JEaW0ygCv4lDzqDFj,Bohemian Polka,"""Weird Al"" Yankovic"
1cZfcbIJLHaJ0cXdsqAufP,Long Gone (Save Me From This Hell),$uicideBoy$
7xUdgWfWtmHD729eHVfkDL,Halcyon Days,...And You Will Know Us By The Trail Of Dead
1aVUCFXWlS0KCY7FCTkQCR,Writing On The Walls,10 Years
7E5KQijzkMmZKp7RUybvpr,Old Wild Men,10cc
74BIr8H03lr5L6LZ1friIa,Dead People,21 Savage
3oxCefEI6Tc6Z6t20J4IvH,Disrespectful,"21 Savage, Offset & Metro Boomin"
3zZ30LpGe1lYzJsIQpyZPw,Untouchable Swizz Beatz Remix,2Pac
0lqKrmXUgswg8JarLKs89l,Dumpin',2Pac
7tUw8Zf8a0OcCzU1MwZHOY,Ballad Of A Dead Soulja,2Pac
3y3XOsbYP6jJC2vS9e2LrT,World Wide Mob Figgaz,2Pac
0aEW8gfrtpCLdCnQMSAMRA,Enemies With Me,2Pac
19v5b0qbqfqIDuRO8wxsIY,Life Of My Own,3 Doors Down
04aS4Olf3yWZge6cHRTiJI,The Goatriders Horde,3 Inches Of Blood
7jXbPHPP8JLDGJTkqTbzQl,In The Midnights,36 Crazyfists
7j9PEQdO46RhXWpEUWwIlZ,Chain Lightnin',38 Special
2e86VKCGEcOJFSVlTJRSD5,Outta Control - Remix,50 Cent
6dWNtdXVsT4t5oqN4rpN2U,Outta Control,50 Cent
0CIGZEXjZ8L52lOrqUljJt,Let Her Go,6LACK
1uGooqNfg2PDfVZ0POkzuU,Let It Go,88rising
39SVZipo0Yp4Fez98A45Ba,When It's On,8Ball & MJG
1c3ubysF2ajgCnSeeZvkOe,Break-A-Bitch College,8Ball & MJG
5yth6XTvV4wX7hRP0uCxaA,When The Levee Breaks,A Perfect Circle
46ZwVC2uoJzA1418QYPekM,People Are People,A Perfect Circle
3VKdOmOSWc50fxn0PjDZWc,When The Levee Breaks,A Perfect Circle
6MmCd3vp8GKJPfkLKAjMqz,While The World Let Go - Bonus Track,A Rocket To The Moon
48OMHRJhM1kv2prG1zhmj3,Your Mistake,A Skylit Drive
2Pp3QD3thPnk2kCxmu2MHK,Dis Generation,A Tribe Called Quest
2wS1PObRyCywHdmog5eOWW,Show Business,A Tribe Called Quest
2eiOSen0lk3HjBwpiXWwHI,Beautiful People,A$AP Ferg
1jNrotshHZUS2wj7MU6Lw9,FYBR (First Year Being Rich),A$AP Mob
4pdgV8qr9Oytcv6thCdiIZ,RAF,A$AP Mob
7jcEP23vMjq4MyOkoWobpE,Down with the Clique,Aaliyah
4Xw67V45ity3DNCoweCHdt,Young Nation,Aaliyah
2P2ziWJQc2WjT2pJ5T7Ox5,Old School,Aaliyah
4RJbuVAZjEklJQoKoYQAme,I Lost It All,Aaron Lewis
1oczsqbrEWPUjPsAm1Yv9A,State Lines,Aaron Lewis
3ggx05QiusyJsCpWliGlni,Party in Hell,Aaron Lewis
3IbETrBDmDvdSsyUZlUldw,You Never Can Tell,Aaron Neville
0uIRvXlpu6Bu5T0RGyw5xj,I Wonder How Far It Is Over You,Aaron Tippin
6AtXtuCaOqtYGCbY8kim2c,People Like Us,Aaron Tippin
6fb3AYRhhKx5bPEMUfhNuP,The Arrow,Aaron Watson
6CsGmt0gpkobJSVqLqBQLj,Barbed Wire Halo,Aaron Watson
3tvo3j1QUYXn2EKaqUeZXM,Barbed Wire Halo,Aaron Watson
1TaDWN9kixXxE7eYx1Cctd,I Let The Music Speak,ABBA
4dwEIYXbNV2JAxyVz9TtXX,Sapiosexual,AB-Soul
5XeMsYb1rWxQL1bUUaZajn,Let Me Put My Love Into You,AC/DC
2q0FeOVtIivDv9WWzvPH6J,Let There Be Rock - Live at River Plate,AC/DC
7pZYTjl0SQhdsi5qsWS8Q0,Let There Be Rock,AC/DC
26BorykMVImKnsC2SsOLG6,Let Me Put My Love Into You,AC/DC
6EV7R20p1qHi1HwldZorHi,The Honey Roll,AC/DC
3Vy9XOOTEU6zMvTozAcHZK,Let There Be Rock - Live,AC/DC
753KutoAy00apPsplMRetG,Let There Be Rock,AC/DC
3Nnm4EROP8wEnMpcmapvLR,So Contagious,Acceptance
5O6yk6U8L3rTbFsIwuqe8H,Turning Tables,Adele
7q3vcf5XpYU6Y1iX4ZzHAk,Sick,Adelitas Way
4pd8HxU5KLuUYfRMwusxf8,Draw the Line,Aerosmith
1a6VLZ3BplAosOWmCcFDAW,What It Takes,Aerosmith
1L4tQ7fiClHGNLM6pmrg52,What It Takes,Aerosmith
7hdUykutRuNKNKKYqsWN06,What It Takes,Aerosmith
7hdUykutRuNKNKKYqsWN06,What It Takes,Aerosmith
1v06ZcheloVH3fQaze4nts,Drop Dead Gorgeous,Aerosmith
2fAYTT9kcUm8tnUrhD80sC,What It Takes,Aerosmith
1nh0gPXn5ZDw947TNjnyAk,Eat The Rich,Aerosmith
0CFtlafteObzOEuJdESQkb,Eat The Rich,Aerosmith
2rVeiO8AI1ZDSv4wjS46OX,What It Takes,Aerosmith
3RgVfzLjDui6uzkLNci9wD,Magic Touch,Aerosmith
2oUp3nS5lhoHZsoaLaKdRa,Let The Music Do The Talking,Aerosmith
5HRO58hfVhTpGR87AzHaBa,She Won't Let Me Fuck,Afroman
0UYGRhKKnRrOUt8qIitQrH,Sway Of The Break,After The Burial
0TJ27eoayy3FO0p8EWt0Uj,Dead Rats,Against Me!
5UwGMbEKlvXFj7DXI1d0P1,I Was a Teenage Anarchist,Against Me!
1xnxu64LTEdcImXvvmyfYc,Mediocrity Gets You Pears (The Shaker),Against Me!
6DOicWKZtdqjeW44q1YJFM,How Low,Against Me!
6pC4W96sk7jbmnAPAlaHr5,The One Who Loves You Now,Agnetha Faltskog
5KOMKQUGwBCxRmITk8nEFu,High on Sunday 51,Aimee Mann
6MhK1gPrgtgRedEjSUz18I,Lost In Love,Air Supply
28dAkHMn5LZI85O1UxIu6C,Two Less Lonely People In the World,Air Supply
0ty88JKVXWxbsz6H5D60iR,Two Less Lonely People In the World,Air Supply
6MfVSA5iKBPHzo6RGARjL0,Lost In Love,Air Supply
5Z8Y2rwPcivlwXimF0fpCJ,Could I Be the One?,Al Green
7bIMTRRihD2jt5gK8Gyy4b,Free at Last,Al Green
7gmlRB4Xx8Q5gTQE3bY4rT,Gotta Find a New World,Al Green
225W9qCk2o51QyFZiEVDW9,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama
2psb58SgDDKLRDolxmDLYS,Church In The Wildwood,Alabama
7e97THFii5dhltjgbLtsft,I Love You Enough To Let You Go,Alabama
1IkLtLG3rH0hLSAagnOTOO,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama
6KW1hFD7iZsU9vHdvUAh5o,Country Boy,Alan Jackson
73TKZKaEM9od06MYr6dz3Y,Country Boy,Alan Jackson
5RuCWf4bJC0rqA05b7nWfd,Country Boy,Alan Jackson
11wq17PioKjBSnp4k7wj4I,Country Boy,Alan Jackson
2bbIswC2E2MMSSjcHFD17G,The Free Electric Band,Albert Hammond
4mz1qp4rj7ghoaxEGy1UeX,Desert Diamond,Alcatrazz
4uNwcRuNN122YrX9Bpo70E,Sister Lost Soul,Alejandro Escovedo
7x2nxHcOQ89z18qa5lGMZu,Paradox,Alesana
1dL3ikJKAKvYi8KQb3rw20,The Fiend,Alesana
6aWc2FXpyrHx3gvLsIP782,I Won't Let You Down,Alex Clare
3YcPTec9lgNPh7AKZJ2vC2,Accept Crime,AlexisOnFire
7FYd6sPkWcZ83fNGRnHoBy,Triggerman,Alice Cooper
1ad6vKBg5pzyM9oCQ0M9Fg,School's Out - Live,Alice Cooper
3FunVn9CKT2FfcNnyoIL8x,Damned If You Do,Alice Cooper
6pPz20RDulTS3NSqim0YPl,School's Out,Alice Cooper
5Z8EDau8uNcP1E8JvmfkZe,School's Out,Alice Cooper
2fnpmmmi5m2qRuY2gwBdxU,So Far Under,Alice In Chains
6Y7XUWdya3dbShqG1A7O9V,Grind,Alice In Chains
6BOk2ceFi2Gb3AunVZUvbJ,Grind,Alice In Chains
6AxNWiBl9n2bBBEnDYgi82,If I Ain't Got You,Alicia Keys
7kwkALLZiIczpPksihrbE1,Jane Doe,Alicia Keys
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys
5mSeVfYFVJP7uWU0x1eoPD,Steal Me Blind,Alison Moyet
6Apozxrk03AIyQwyswUjbt,Church,Alison Wonderland
34T4lXWglYenADev5UhsJd,You've Got So Far To Go,Alkaline Trio
0itGTjddrHS8j6jTV4mznY,Off The Map,Alkaline Trio
4Z7Unt3RQjLDSVahTWER70,Keepers Of Fellow Man,All That Remains
55An8X38ddOlY23WztfRvy,Before The Damned,All That Remains
2zkTehkNBWVQIGda4y729C,It Dwells In Me,All That Remains
3Q8HNCQq4NU8dd7qBv6m13,Become The Catalyst,All That Remains
7KDnYbMZjpAzYLOlpXm2uC,Damned If I Do Ya (Damned If I Don't),All Time Low
7LcNhnWCI9w9ivknoSqtvK,Damned If I Do Ya (Damned If I Don't),All Time Low
3QSTCT6N8cLMboxIInwjEt,"Hello, Brooklyn",All Time Low
2HonfdQcZxnyKUaXOR1M7K,Pop Hates the Beatles,Allan Sherman
3TN7qKVFJTD8VWzvzG8fks,When I Was a Lad I Went to Yale,Allan Sherman
3KLKBvomXoxVTdObOZu2mW,Lover,Alter Bridge
0lKvomzItEQ3Z6KqwzLLeT,Show Me A Sign,Alter Bridge
4TNmKpTcx2kveSu5EdyXug,Wayward One,Alter Bridge
6ESAJg8Rp26YZyeyoJ3PQu,All I Want For Christmas (Is My Two Front Teeth) - Remastered 1999,Alvin And The Chipmunks
36MsfHisJtM2UmjfHctcM8,Dark Horse,Amanda Marshall
0MzaGFFHGMssEAKzwMe9uk,A Horse with No Name - Live,America
0Osbam159ngkQww6isBBQJ,A Horse with No Name,America
64ybTt8CKxPdeXBNnu08Op,Believer,American Authors
6RqiiH9J7pNg8jDM1umQtx,Think About It,American Authors
5NL5nBfv7e8vrDqHn3ebpt,My Only Enemy,American Hi-Fi
4p6fvhKPy0CPzMwtJA1wmm,Scar,American Hi-Fi
4wE3aJJBD1iywuJZUjyXUK,Can't Let Go,Amerie
38tkHSLEZcTEMpRbQEAjcR,A Dream That Cannot Be,Amon Amarth
3bjdZvVDGSsvEMGvmomjqU,Tock's Taunt - Loke's Treachery Part II,Amon Amarth
1b9TEVRIguIp5zZmDOUeJM,Little Light,Amos Lee
3X0Zt2W4huUdLLP3ITGLty,Let's Start A Band,Amy MacDonald
3zzrc9FVgRzjZr9Lmz8muI,Barrowland Ballroom,Amy MacDonald
3Yd2WbXs9RhfwKB7GMC534,Reclusion,Anberlin
7fwycbhYngsgYoeQzidkvH,(*Fin),Anberlin
25GlFJq5QNAXyVgJvCZ4Mf,Heart Don't Stand a Chance,Anderson .Paak
1zlclNkERGFrCxznXOgkD3,Celebrate,Anderson .Paak
6G1ejVGRddtPPkLsoYUUdI,Vivo Per Lei,Andrea Bocelli
6cPLCU7hKjgjvLWzCevl7R,Vivo per lei,Andrea Bocelli
5Up7arMcl0UfvCEuS8CphF,Nel cuore lei,Andrea Bocelli
64TIRVLfr4aJisBpp0eKDj,Vivo per lei,Andrea Bocelli
5CXTnN8Sh9hc4C0S6anqXk,"Do, Re, and Me",Andrew Jackson Jihad
5iYuppZ8ZRC5phXkWePTwu,His Heart Beats,Andrew Peterson
4w9FRInfBiUtdysiBqTR8b,It's Time To Party,Andrew W.K.
1rZYmFybIdfGjsYbPC970I,Party Til You Puke,Andrew W.K.
